L,b,h,E,rho,damping_ratio,force_amplitude,excitation_frequency,observation_point,simulation_time,time_step,number_of_modes,f1,f2,f3,f4,peak_displacement,rms_displacement,frequency_ratio
2.240063085423341,0.0672072027213505,0.0058595443181078,214011347406.21536,7944.307077981842,0.020402108342961,6.624140253106189,2.541355782555102,0.65,2.0,0.002,4,2.748292723613273,10.993170894453094,24.734634512519463,43.972683577812376,0.0750819605801833,0.0381395700974489,0.9247034570662094
2.6752345857109745,0.049063055552087,0.0057308364012909,180659650359.106,7789.39016079773,0.0123970426665999,7.080746865392296,2.8530628919022365,0.65,2.0,0.002,4,1.748647928975831,6.994591715903324,15.737831360782478,27.978366863613296,0.0463150992631472,0.0220562941261348,1.631582232549952
2.611981164771076,0.0252080266010434,0.0056659594536588,219907017894.7929,7947.782849293875,0.0447281376559791,9.517671481305513,1.9590342013325055,0.65,2.0,0.002,4,1.9808846326462253,7.923538530584901,17.82796169381603,31.694154122339604,0.4315944551800195,0.2115486857049366,0.9889693569460781
2.230271179976843,0.0428846137041741,0.0055836623116132,204010931255.64328,7636.903056374149,0.0294144831971386,7.544310031890255,2.5321005536075014,0.65,2.0,0.002,4,2.630880577262393,10.523522309049572,23.67792519536154,42.094089236198286,0.1691291072936933,0.0818814502652577,0.9624536269306155
2.9763528491143,0.0396151673115334,0.0063258535312624,189947615231.5146,7623.365751821848,0.0405513396123762,5.174273834156944,1.3036720287585597,0.65,2.0,0.002,4,1.6163041893448122,6.465216757379249,14.546737704103313,25.860867029517,0.1190402522041674,0.0664767483641029,0.8065759139602419
2.8578600342527185,0.0352863454458522,0.007136871084264,206532611174.908,7806.343775194448,0.028542558233497,9.253729866983855,2.682437576010312,0.65,2.0,0.002,4,2.0381008840057357,8.152403536022941,18.34290795605161,32.609614144091765,0.0869604218523964,0.0413649751925174,1.3161456319758718
2.7308637112442007,0.0431824361758798,0.0109386901856105,192196453811.39664,7807.480691317846,0.0295182515160257,6.638565338573524,3.217167492152746,0.65,2.0,0.002,4,3.299983352314208,13.199933409256833,29.69985017082788,52.79973363702733,0.0548232523572864,0.0262369170011173,0.974904158197227
1.7441568230320508,0.0243100921840165,0.0083019662034964,198670117036.7576,7996.176871570129,0.049831927832261,9.79825464313045,5.931145590306603,0.65,2.0,0.002,4,6.1682821418494935,24.67312856739797,55.51453927664544,98.6925142695919,0.0386556650791364,0.0234467634020052,0.9615554953405896
2.988557347831682,0.0562849227977354,0.0062651734165746,182611089379.1464,7629.9686785037875,0.0315451736280928,8.114834103041114,1.439923364880244,0.65,2.0,0.002,4,1.5561138160389698,6.224455264155879,14.005024344350728,24.89782105662352,0.2411507352639238,0.1102175251936008,0.9253329351869105
2.596015709769172,0.0647960578433073,0.0052913418208811,190925328504.2669,7787.335097116726,0.0317994970422558,9.200298783753595,1.5444251878546724,0.65,2.0,0.002,4,1.7628598271941862,7.051439308776745,15.865738444747675,28.20575723510698,0.1851225051747289,0.0952347023730421,0.8760907498316641
2.06943343484542,0.0208383631651077,0.0050335280712109,200426425269.5959,7721.982205499678,0.0131140150697829,6.174579983389498,1.6595298416223614,0.65,2.0,0.002,4,2.7152631022824805,10.861052409129922,24.437367920542325,43.44420963651969,0.0734295952926541,0.0368848013605882,0.6111856490913687
2.754854158432777,0.0273208959117702,0.0067139451238019,192012786764.92065,7772.485987250334,0.0184344011938462,7.655552115712913,1.279019114908847,0.65,2.0,0.002,4,1.9938611813543108,7.975444725417243,17.944750632188796,31.901778901668973,0.1005460425362225,0.0508390524637865,0.6414785175967395
