model,frequency_ratio,distance_from_resonance,test_region,output,rmse,mae,r2,number_of_test_samples,prediction_time_seconds
standard_NN,1.2,0.19999999999999996,seen_off_resonance,f3,3.0125953440016033,2.082370694054962,0.9979672823886152,750,0.000852041004691273
standard_NN,1.2,0.19999999999999996,seen_off_resonance,f4,5.351042447411067,3.7121966875246035,0.9979708353192781,750,0.000852041004691273
standard_NN,1.2,0.19999999999999996,seen_off_resonance,peak_displacement,0.014289509258041937,0.005106663668877626,0.6148713160122579,750,0.000852041004691273
standard_NN,1.2,0.19999999999999996,seen_off_resonance,rms_displacement,0.008110623802352376,0.002777066986842114,0.5795613203725112,750,0.000852041004691273
standard_NN,1.5,0.5,seen_off_resonance,f1,0.3044956827624676,0.2270169606848031,0.9983179351071161,750,0.0009174160004477017
standard_NN,1.5,0.5,seen_off_resonance,f2,1.2207116432426703,0.9031871482645393,0.9983103892700542,750,0.0009174160004477017
standard_NN,1.5,0.5,seen_off_resonance,f3,2.6227437546263084,1.9356199289227243,0.9984593387061931,750,0.0009174160004477017
standard_NN,1.5,0.5,seen_off_resonance,f4,4.658445260765778,3.479852892076783,0.9984621198347281,750,0.0009174160004477017
standard_NN,1.5,0.5,seen_off_resonance,peak_displacement,0.0031796708833141947,0.0009996169551780788,0.8978129719546032,750,0.0009174160004477017
standard_NN,1.5,0.5,seen_off_resonance,rms_displacement,0.0015788480551660292,0.00048334466317415413,0.8912581276245971,750,0.0009174160004477017
physics_guided_NN,0.5,0.5,seen_off_resonance,f1,0.11286996461330637,0.0893904509586617,0.9997688801508151,750,0.0009175840023090132
physics_guided_NN,0.5,0.5,seen_off_resonance,f2,0.43300747439106213,0.3326265302928969,0.9997874058689498,750,0.0009175840023090132
physics_guided_NN,0.5,0.5,seen_off_resonance,f3,0.9168792334292254,0.708149038388954,0.999811713266279,750,0.0009175840023090132
physics_guided_NN,0.5,0.5,seen_off_resonance,f4,1.7079482385277858,1.3037462402830728,0.9997932764702675,750,0.0009175840023090132
physics_guided_NN,0.5,0.5,seen_off_resonance,peak_displacement,0.0013489970876003124,0.0007588283236317587,0.9796491633176323,750,0.0009175840023090132
physics_guided_NN,0.5,0.5,seen_off_resonance,rms_displacement,0.0005204290395086244,0.00033379591134694367,0.9916121744615943,750,0.0009175840023090132
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,f1,0.1343981242759803,0.10146605874329237,0.9996723072124549,750,0.0006815000015194528
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,f2,0.5253760078088636,0.3969151329465169,0.9996870312630335,750,0.0006815000015194528
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,f3,1.1853504299806696,0.9105662649925224,0.9996853056309762,750,0.0006815000015194528
physics_guided_NN,0.8,0.19999999999999996,seen_off_resonance,f4,2.0674234504953,1.5198593436790462,0.9996970999266006,750,0.0006815000015194528
