model,training_percentage,training_samples,repeat,epoch,training_loss,validation_loss
physics_guided_NN,75,2625,1,220,0.0007621823382838297,0.009109479375183582
physics_guided_NN,75,2625,1,221,0.0009527629396567742,0.008851494640111923
physics_guided_NN,75,2625,1,222,0.0010222369674011134,0.009361403994262218
physics_guided_NN,75,2625,1,223,0.0008393562422411161,0.009737526997923851
physics_guided_NN,75,2625,1,224,0.0008132884617052263,0.010853054001927376
physics_guided_NN,75,2625,1,225,0.000990552552615381,0.009091004729270935
physics_guided_NN,75,2625,1,226,0.0009629111068317711,0.009581745602190495
physics_guided_NN,75,2625,1,227,0.001335799500035743,0.009874100796878338
physics_guided_NN,75,2625,1,228,0.001031762529497168,0.009700840339064598
physics_guided_NN,75,2625,1,229,0.0011388950520735566,0.010457074269652367
physics_guided_NN,75,2625,1,230,0.0010254239331559454,0.011182498186826706
physics_guided_NN,75,2625,1,231,0.0015478897094865153,0.009294534102082253
physics_guided_NN,75,2625,1,232,0.0015717361834720663,0.013104841113090515
physics_guided_NN,75,2625,1,233,0.0018890682608582125,0.010654964484274387
physics_guided_NN,75,2625,1,234,0.001157026577684086,0.013717995956540108
physics_guided_NN,75,2625,1,235,0.0014336136165573926,0.00981047097593546
physics_guided_NN,75,2625,1,236,0.0011366186105684999,0.010106302797794342
physics_guided_NN,75,2625,1,237,0.0009642513184752758,0.008948290720582008
physics_guided_NN,75,2625,1,238,0.0008592622200792123,0.010710556991398335
physics_guided_NN,75,2625,1,239,0.0015225327183326868,0.010556312277913094
physics_guided_NN,75,2625,1,240,0.0009135685204888606,0.009786633774638176
physics_guided_NN,75,2625,1,241,0.001590047024711523,0.014383206143975258
physics_guided_NN,75,2625,1,242,0.0035161362916585944,0.011994365602731705
physics_guided_NN,75,2625,1,243,0.002042234653864788,0.0104433074593544
physics_guided_NN,75,2625,1,244,0.0014259677347061889,0.008733670227229595
physics_guided_NN,75,2625,1,245,0.0026737598513829567,0.014101930893957615
physics_guided_NN,75,2625,1,246,0.0028458157529322697,0.016311414539813995
physics_guided_NN,75,2625,1,247,0.002891669453847932,0.009790094569325447
physics_guided_NN,75,2625,1,248,0.004888959529732044,0.019119450822472572
physics_guided_NN,75,2625,1,249,0.007426708939463077,0.011435180902481079
physics_guided_NN,75,2625,1,250,0.004681405827536115,0.023089751601219177
physics_guided_NN,75,2625,1,251,0.00850736773212529,0.017571013420820236
physics_guided_NN,75,2625,1,252,0.0033647350085500094,0.013681632466614246
physics_guided_NN,75,2625,1,253,0.0017775825933010008,0.012064659036695957
physics_guided_NN,75,2625,1,254,0.0010889683877134562,0.01140518393367529
physics_guided_NN,75,2625,1,255,0.0012025568666147245,0.011954955756664276
physics_guided_NN,75,2625,1,256,0.0008774865390954627,0.010765188373625278
physics_guided_NN,75,2625,1,257,0.0007089643806379865,0.01078201923519373
physics_guided_NN,75,2625,1,258,0.0007372729347220489,0.012121595442295074
physics_guided_NN,75,2625,1,259,0.0006756679998337253,0.010563097894191742
physics_guided_NN,75,2625,1,260,0.0007091876472085936,0.011515667662024498
physics_guided_NN,75,2625,1,261,0.0007987861428686994,0.011101932264864445
physics_guided_NN,75,2625,1,262,0.000767857724678747,0.011078862473368645
physics_guided_NN,75,2625,1,263,0.000933620767595823,0.011451656930148602
physics_guided_NN,75,2625,1,264,0.0014766002307494222,0.013705684803426266
